"United Finance Company OFFERS DATA - GENERATED [06/26/2019] from UFC_adv.html",,,,,,,
,,,,,,,
"DAT","SRC","TYP","NUM","NAM","DSC","AMT","BRK_ADR_TEL"
12/16/21,"SS-D","SELL","&empty;","United & Inland Finance","&ne;","&sub;","MW_214-Union-St._Elliott-0850"
12/19/21,"SS-A","SELL",2,"United Finance","&ne;",160,"CJS_118-Cherry-St._Main-5899"
12/19/21,"SS-B","SELL",1.5,"United Finance","&ne;",160,"CJS_118-Cherry-St._Main-5899"
12/19/21,"SS-C","SELL",4,"United Finance","&ne;",160,"CJS_118-Cherry-St._Main-5899"
1/11/22,"SS-A","SELL",2,"United Finance","&ne;",125,"CJS_118-Cherry-St._Main-5899"
1/11/22,"SS-B","SELL",3,"United Finance","&ne;",125,"CJS_118-Cherry-St._Main-5899"
1/11/22,"SS-C","SELL",4,"United Finance","&ne;",125,"CJS_118-Cherry-St._Main-5899"
1/11/22,"SS-D","SELL",2,"United Finance","pfd.","Bid","PSC_600-601-Securities-Bldg._Elliott-3113"
3/15/22,"SS","NEWS","&empty;","United Finance","&ne;","&sub;","SS_19220315_#040"
3/18/22,"TCE","NEWS","&empty;","United Finance","&ne;","&sub;","TCE_19220318_#041"
3/18/22,"SS","NEWS","&empty;","United Finance","&ne;","&sub;","SS_19220318_#042"
3/20/22,"SS","NEWS","&empty;","United Finance","&ne;","&sub;","SS_19220320_#043"
3/27/22,"SS","NEWS","&empty;","United Finance","&ne;","&sub;","SS_19220327_#044"
4/1/22,"SS","NEWS","&empty;","United Finance","&ne;","&sub;","TCE_19220401_#045"
6/23/22,"SS-A","SELL",4,"United Finance","PREFERRED","&sub;","JEL_Arlington_R.-4"
6/23/22,"SS-B","SELL",3,"United Finance","1st common","&sub;","JEL_Arlington_R.-4"
6/23/22,"SS-C","SELL",8,"United Finance","2nd common","&sub;","JEL_Arlington_R.-4"
6/24/22,"SS-A","SELL",4,"United Finance","PREFERRED","&sub;","JEL_Arlington_R.-4"
6/24/22,"SS-B","SELL",3,"United Finance","1st common","&sub;","JEL_Arlington_R.-4"
6/24/22,"SS-C","SELL",8,"United Finance","2nd common","&sub;","JEL_Arlington_R.-4"
7/1/22,"SS","SELL",2,"United Finance","&ne;",75,"JWC_709-2nd-Ave._Main-1513"
7/14/22,"SS","SELL",2,"United Finance","&ne;",60,"JWC_709-2nd-Ave._Main-1513"
7/18/22,"SS","SELL",2,"United Finance","&ne;",55,"JWC_709-2nd-Ave._Main-1513"
7/21/22,"SS-A","SELL",2,"United Finance","&ne;",50,"HMHC_117-Cherry-St_Elliott-4256"
7/21/22,"SS-B","SELL",2,"United Finance","&ne;",55,"JWC_709-2nd-Ave.-Main-1512"
7/26/22,"SS-A","SELL",2,"United Finance","&ne;",55,"JWC_709-2nd-Ave._Main-1513"
7/26/22,"SS-B","SELL",2,"United Finance","&ne;",55,"CJS_118-Cherry-St_MAIN_5899"
8/1/22,"SS","SELL",7,"United Finance Co.","&ne;","&sub;","MW_214-Union-St._Elliott-0850"
8/2/22,"SS-A","SELL",7,"United Finance","&ne;","&sub;","MW_214-Union-St._Elliott-0850"
8/2/22,"SS-B","SELL",2,"United Finance","&ne;",40,"HMHC_117-Cherry-St_Elliott-4256"
8/2/22,"SS-C","SELL",2,"United Finance","&ne;",40,"HMHC_117-Cherry-St_Elliott-4256"
8/2/22,"SS-D","SELL",4,"United Finance","&ne;",40,"HMHC_117-Cherry-St_Elliott-4256"
8/2/22,"SS-E","SELL",2,"United Finance","&ne;",40,"CJS_118-Cherry-St_MAIN_5899"
8/4/22,"SS-A","SELL",2,"United Finance","&ne;",40,"HMHC_117-Cherry-St_Elliott-4256"
8/4/22,"SS-B","SELL",7,"United Finance","&ne;","&sub;","MW_214-Union-St._Elliott-0850"
8/5/22,"SS","SELL",7,"United Finance","&ne;","&sub;","MW_214-Union-St._Elliott-0850"
